,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,meanRR,meanRG,meanRB,StdDevRR,StdDevRG,StdDevRB,skewRR,skewRG,skewRB,kurtosisRR,kurtosisRG,kurtosisRB,entropyRR,entropyRG,entropyRB,meanH,meanS,meanV,StdDevH,StdDevS,StdDevV,skewH,skewS,skewV,kurtosisH,kurtosisS,kurtosisV,entropyH,entropyS,entropyV,meanL,meanA,meanB,StdDevL,StdDevA,StdDevB,skewL,skewA,skewB,kurtosisL,kurtosisA,kurtosisB,entropyL,entropyA,entropyB,meanY,meanCb,meanCr,StdDevY,StdDevCb,StdDevCr,skewY,skewCb,skewCr,kurtosisY,kurtosisCb,kurtosisCr,entropyY,entropyCb,entropyCr,meanXX,meanYY,meanZZ,StdDevXX,StdDevYY,StdDevZZ,skewXX,skewYY,skewZZ,kurtosisXX,kurtosisYY,kurtosisZZ,entropyXX,entropyYY,entropyZZ,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,ALLdaub4H,ALLdaub4S,ALLdaub4V,ALLdaub4L,ALLdaub4a,ALLdaub4b,ALLdaub4Y,ALLdaub4Cb,ALLdaub4Cr,ALLdaub4XX,ALLdaub4YY,ALLdaub4ZZ,CLASS
27804,8468,361.796,147.5502,74.191,0.8644,103.8354,0.9774,8664,0.6838,1.9888,0.8129,0.7037,0.0174,0.0088,0.4952,0.9849,210.7113,211.29,217.4414,14.8711,15.0896,14.3705,-1.4837,-1.455,-1.6164,7.7783,7.5436,8.9209,-4048786176,-4073758720,-4333493760,0.6471,0.0317,0.8527,0.0206,0.012,0.0563,-0.4983,1.158,-1.6162,13.764,3.7526,8.9205,3079.1477,63.1519,1892.1041,216.012,128.4423,124.8196,13.7949,0.6832,1.3699,-1.5806,1.2732,-0.8246,8.3661,4.0845,2.8486,-4269917184,-1356672128,-1273826176,197.9134,130.7358,127.0529,12.817,1.154,0.2733,-1.4833,1.0088,1.6228,7.785,2.8941,15.2068,-3526617600,-1410771584,-1324466304,0.6318,0.6605,0.7578,0.0926,0.0981,0.106,-0.9185,-0.9007,-0.9739,4.8767,4.7405,5.4013,2961.3064,2896.6289,2475.6443,105.3589,105.6488,108.7228,0.3235,0.0158,0.4264,108.0085,64.2207,62.4101,98.9589,65.3668,63.5265,0.3159,0.3303,0.3789,Arborio
43169,5675,329.831,146.8206,50.7321,0.9384,85.0037,0.9627,5895,0.5796,2.894,0.6555,0.579,0.0259,0.0089,0.3352,0.9701,196.5713,196.7189,203.6011,9.7874,9.742,10.2825,-1.7042,-1.8595,-1.7908,15.0251,15.5938,14.3465,-2323420416,-2327161344,-2509371136,0.6589,0.0359,0.7984,0.0431,0.0099,0.0403,-10.7026,0.5483,-1.7872,162.1213,3.1183,14.3273,2040.1461,50.7111,1605.8304,202.8326,128.6315,124.3787,9.1168,0.6572,1.0602,-1.9988,0.7239,-0.3938,16.391,3.2039,3.2877,-2487016192,-912156736,-846985792,185.5811,130.7859,127.268,8.4094,1.0905,0.443,-1.8176,0.6908,1.0475,15.3489,2.2992,2.0973,-2047224576,-946245184,-890945600,0.5386,0.5616,0.6508,0.0567,0.059,0.0694,-0.7601,-0.7816,-0.8228,10.7217,10.8598,10.1435,2006.5785,2030.4749,2008.6692,98.2786,98.3538,101.7906,0.3296,0.0179,0.3992,101.4107,64.3148,62.1915,92.7839,65.3909,63.6337,0.2693,0.2808,0.3254,Jasmine
61772,14012,481.969,199.4751,91.1624,0.8895,133.5688,0.9689,14462,0.6814,2.1881,0.758,0.6696,0.0142,0.0065,0.4484,0.9811,238.5801,241.467,236.9964,9.3359,8.6745,8.6597,-3.1883,-4.7638,-4.0007,29.8049,45.6035,39.7053,-8749836288,-8979792896,-8621405184,0.2689,0.02,0.947,0.1001,0.0067,0.034,0.6317,-0.7706,-4.7523,9.3926,5.2654,45.465,2612.8445,46.9617,1324.6744,242.2671,126.5813,129.6544,7.9396,0.8387,0.8779,-4.6654,0.032,0.6366,45.4458,2.6101,3.4307,-9042386944,-2173796352,-2291932928,222.2447,126.4896,126.9093,7.5867,0.6994,0.9234,-4.2167,-0.6512,0.1299,40.2527,5.8267,1.4281,-7490861056,-2170284800,-2186270720,0.825,0.8775,0.9285,0.0633,0.0655,0.0698,-2.4773,-2.8709,-2.5166,21.9764,24.9318,23.5454,3530.9412,2665.176,1608.1766,119.284,120.7268,118.4909,0.1344,0.01,0.4735,121.1269,63.291,64.8273,111.1172,63.2444,63.455,0.4125,0.4387,0.4642,Ipsala
69594,6194,287.01,108.8367,72.9905,0.7418,88.8057,0.9877,6271,0.709,1.4911,0.9449,0.816,0.0176,0.0118,0.6658,0.9927,197.7672,199.3847,216.6098,15.1018,15.3671,16.649,-1.0749,-1.0956,-1.4411,8.9596,8.9874,10.2528,-2580769792,-2627554304,-3149445632,0.6397,0.0883,0.85,0.0805,0.0221,0.0648,-5.804,-1.3699,-1.446,37.8117,4.9154,10.3424,2206.7161,241.0917,1387.2432,205.536,129.8799,119.102,14.2691,1.072,2.9136,-1.2993,-0.8208,1.8986,10.0549,4.9992,7.7942,-2804191744,-1017068544,-840635648,188.5037,135.9496,126.009,13.1496,2.6252,0.7622,-1.1655,-1.8093,0.2124,9.3292,7.1624,4.4796,-2320577536,-1125256960,-951356928,0.5669,0.5848,0.7423,0.0912,0.0951,0.1194,-0.2595,-0.2089,-0.4219,5.6129,5.4566,5.9495,2166.5522,2167.8652,1828.6477,98.8481,99.658,108.2614,0.3196,0.0442,0.4248,102.7325,64.9385,59.5548,94.2205,67.9709,63.0048,0.2834,0.2923,0.371,Karacadag
57164,7118,393.063,182.3026,50.8552,0.9603,95.1994,0.9699,7339,0.4132,3.5847,0.579,0.5222,0.0256,0.0071,0.2727,0.9776,216.6947,218.2617,242.2192,18.2125,18.5461,16.1832,-0.7544,-0.7887,-3.8034,6.5436,6.4454,20.6145,-3627736576,-3686036224,-4610976768,0.6521,0.106,0.9499,0.0425,0.0432,0.0635,-8.8566,-0.6901,-3.8035,135.9822,2.2047,20.6141,2568.1069,382.4142,582.8159,223.185,130.9191,115.9085,16.5483,1.8124,5.3398,-1.1011,-0.408,0.6268,7.7867,2.043,2.0922,-3861712384,-1189706368,-911551232,205.3922,138.7451,125.486,15.3309,4.6891,1.1611,-1.0956,-0.646,0.3039,7.6755,2.1437,2.4131,-3220660480,-1353781248,-1083356160,0.7039,0.7213,0.9492,0.1158,0.1267,0.1231,-0.5212,-0.2227,-2.7427,5.2872,4.4509,13.4682,2265.7078,2157.584,387.6765,108.3341,109.1157,121.0906,0.3258,0.053,0.4749,111.5751,65.46,57.9563,102.6827,69.3704,62.7456,0.3519,0.3606,0.4745,Basmati
40015,6472,301.599,119.5733,69.3456,0.8147,90.7767,0.9855,6567,0.6675,1.7243,0.8941,0.7592,0.0185,0.0107,0.5763,0.9938,207.6409,207.9007,227.2151,13.7946,13.9661,15.1868,-2.3663,-2.3905,-3.1022,15.1091,15.0258,17.5022,-2994484224,-3003055872,-3646331904,0.6624,0.0883,0.891,0.0413,0.0179,0.0596,-13.4853,-1.8092,-3.102,215.8388,7.1425,17.5024,2324.5828,249.4064,1125.5742,213.7791,130.8024,118.3507,12.966,0.9856,2.1947,-2.6494,-1.0786,1.5606,16.5738,4.3654,6.0108,-3188492800,-1079418112,-865880128,196.3647,136.4353,126.3438,11.9942,1.9196,0.7521,-2.5266,-1.549,0.1152,15.6161,6.0848,4.323,-2647797504,-1184765568,-999891008,0.6274,0.6439,0.8241,0.0836,0.0869,0.1083,-1.5412,-1.3918,-2.1084,10.1105,9.7505,11.3073,2289.6008,2266.8574,1519.7667,103.8288,103.9588,113.6046,0.3312,0.0441,0.4455,106.8963,65.399,59.1808,98.1883,68.2125,63.1736,0.3138,0.3221,0.4121,Karacadag
7135,5962,287.712,108.7708,70.5954,0.7608,87.1267,0.972,6134,0.7425,1.5408,0.9051,0.801,0.0182,0.0118,0.6416,0.9886,204.7767,205.872,230.5548,17.6406,17.8085,19.7911,-1.0637,-1.0831,-1.6535,6.9376,7.1098,8.4105,-2686219008,-2717955328,-3480487424,0.6597,0.1124,0.9041,0.0118,0.0212,0.0776,0.4949,-1.0813,-1.6538,14.8653,4.1546,8.4113,2156.8696,333.3489,885.6462,212.0495,131.2585,115.6068,16.5223,1.1088,2.7261,-1.269,-0.7742,1.0055,7.8874,3.3088,3.6694,-2894319104,-1002039616,-757562496,194.9408,138.8423,125.6305,15.3751,2.3562,0.8016,-1.1624,-1.0463,0.3454,7.27,4.0778,4.5486,-2408230912,-1134408960,-909668288,0.6218,0.6345,0.8504,0.1117,0.1151,0.1501,-0.4815,-0.3858,-0.8653,4.3633,4.3061,4.8184,2044.5939,2024.7588,1056.1344,102.3605,102.9061,115.2463,0.3299,0.0562,0.4519,105.9995,65.6294,57.8052,97.4446,69.4217,62.8162,0.3107,0.3171,0.425,Karacadag
58578,16259,501.288,202.3977,103.4387,0.8595,143.8805,0.9837,16529,0.7739,1.9567,0.8131,0.7109,0.0124,0.0064,0.5054,0.9888,231.1755,229.1499,223.4837,11.7584,11.6245,11.3948,-3.1629,-3.241,-2.9835,20.9846,21.6275,20.0458,-9490273280,-9309452288,-8814296064,0.1284,0.0333,0.9067,0.0578,0.0157,0.0461,10.546,1.4938,-3.1626,149.206,5.203,20.9748,1079.6851,136.3778,2526.5293,232.0813,128.0249,131.1584,10.5964,0.6259,1.5464,-3.408,0.5708,1.4209,23.0959,8.0518,5.3734,-9565594624,-2586230784,-2728316160,212.7928,125.2017,129.4992,9.9313,1.4017,0.8395,-3.2579,-1.4821,1.5633,21.7477,5.1787,6.0829,-7914578432,-2462384384,-2652446464,0.7474,0.7879,0.8168,0.0766,0.081,0.0847,-2.2285,-2.2299,-2.0288,14.2953,14.3153,13.4545,5076.1104,4563.1069,4107.8989,115.5131,114.5006,111.6665,0.0641,0.0166,0.453,115.9723,64.0121,65.58,106.333,62.6003,64.7494,0.3732,0.3934,0.4078,Ipsala
45238,7123,382.081,174.2726,52.9426,0.9527,95.2328,0.9767,7293,0.5863,3.2917,0.6131,0.5465,0.0245,0.0074,0.2986,0.983,211.7032,235.6838,243.6332,11.8767,12.796,12.534,-1.4089,-2.6303,-3.4823,10.265,14.6535,19.0283,-3432897536,-4338700288,-4662651392,0.5395,0.1309,0.9555,0.0197,0.0261,0.0491,-8.753,-0.8717,-3.4832,236.8804,4.4014,19.038,2554.8237,501.971,544.6935,233.7647,121.0834,121.3456,11.2924,1.459,2.1812,-2.6547,0.7944,-0.0157,15.2606,4.4718,3.094,-4258656000,-1001999424,-1007033408,213.0453,135.0786,117.0642,10.5286,2.0011,2.0397,-2.5103,-0.3774,1.1498,14.403,3.4092,5.1837,-3477523456,-1275573376,-930185536,0.7356,0.8062,0.973,0.0806,0.0894,0.1009,-1.7571,-1.8262,-2.7915,9.9849,10.0078,13.8248,2263.8523,1857.7234,172.7004,105.8465,117.8306,121.8026,0.2698,0.0654,0.4777,116.8726,60.544,60.6746,106.515,67.5383,58.5351,0.3677,0.403,0.4864,Jasmine
20685,14241,494.202,209.5462,87.8145,0.908,134.6559,0.9739,14623,0.5951,2.3862,0.7327,0.6426,0.0147,0.0062,0.4129,0.9854,235.7219,238.9256,234.6884,10.863,10.5227,10.4309,-3.2158,-4.3127,-3.7102,24.2677,32.2032,28.6526,-8668397568,-8925501440,-8584018432,0.2771,0.0199,0.937,0.1125,0.0099,0.0412,-1.0439,0.2789,-4.3135,3.6546,4.5198,32.2521,2812.3545,51.203,1560.8781,239.9338,126.4737,129.4856,9.5935,0.8502,1.2096,-4.2601,0.2854,1.5935,32.358,2.4247,5.3185,-9004056576,-2205185280,-2322835712,219.9673,126.6045,126.7744,9.0666,1.0572,0.8676,-3.9541,-1.618,0.564,29.7286,5.9461,2.096,-7448859136,-2210289920,-2216774912,0.8053,0.857,0.9087,0.073,0.0765,0.0818,-2.596,-2.9066,-2.5648,18.739,20.4243,19.2002,3819.1299,3020.8958,2001.775,117.8204,119.4208,117.3035,0.1384,0.01,0.4683,119.9282,63.2378,64.7426,109.9486,63.3026,63.3876,0.4024,0.4283,0.4541,Ipsala
28951,14635,477.104,190.4752,99.4309,0.8529,136.5059,0.9721,15055,0.6321,1.9157,0.8079,0.7167,0.013,0.0068,0.5136,0.9839,243.7097,243.0819,241.7949,14.1608,14.4204,15.2465,-2.3161,-2.1763,-1.8791,11.5063,10.6801,8.7598,-9595387904,-9543279616,-9438828544,0.1138,0.0085,0.9558,0.2124,0.0109,0.0554,3.1611,1.9428,-2.3238,12.3751,8.9011,11.5626,589.3099,20.2685,1081.3762,244.4228,128.0763,128.7061,12.9619,0.4391,1.0134,-2.2822,1.8174,2.0664,11.4446,11.7015,8.4607,-9649927168,-2329935872,-2355439616,224.7934,127.328,128.4817,12.3698,0.9297,0.6832,-2.187,-1.9302,1.5233,10.735,8.0343,7.2691,-8040233472,-2300132352,-2346286848,0.8572,0.902,0.9721,0.1058,0.1112,0.1271,-1.6314,-1.634,-1.4156,7.0143,7.045,5.8885,2898.0278,1980.0746,120.5887,121.8237,121.5105,120.8663,0.0572,0.0043,0.4778,122.1835,64.0377,64.3533,112.3704,63.6637,64.2404,0.4284,0.4508,0.4858,Ipsala
50175,13178,461.104,186.7502,91.5952,0.8715,129.5328,0.9673,13624,0.6886,2.0389,0.7789,0.6936,0.0142,0.007,0.4811,0.9809,237.6114,240.3486,238.7226,11.1415,10.6038,10.5115,-2.4215,-3.4118,-3.149,16.8063,23.5916,22.4052,-8163183616,-8367115776,-8244002816,0.3034,0.0131,0.9425,0.1804,0.0085,0.0416,-0.7934,-0.2828,-3.4143,2.0094,2.1661,23.6011,2859.9207,25.2323,1322.3253,241.3403,126.9921,128.3513,9.6644,0.7294,0.6345,-3.3246,-0.1733,1.6834,23.3434,2.3801,4.8758,-8439008256,-2059050752,-2107963136,221.5363,127.6527,126.7868,9.2056,0.6217,0.873,-3.0848,-1.5904,0.2592,21.3877,4.2898,1.8416,-7001010688,-2082730496,-2051750528,0.8218,0.8711,0.9415,0.0771,0.0802,0.0859,-2.0013,-2.2379,-2.1851,13.3571,14.6241,14.8806,3301.5105,2543.427,1144.9324,118.8085,120.1758,119.362,0.1517,0.0065,0.4713,120.6737,63.4961,64.1758,110.7707,63.8259,63.3941,0.4109,0.4355,0.4707,Ipsala
